"","from","to"
"1","U Hoffrage","T Reimer"
"2","S Niyogi","J Tenenbaum"
"3","T Nokes","I Ash"
"4","C Schunn","K Cho"
"5","H Brignull","Y Rogers"
"6","D Fum","F Missier"
"7","J McLean","H Branigan"
"8","H Reeve","H Branigan"
"9","H Reeve","J McLean"
"10","L Rips","A Bloomfield"
"11","T Halverson","A Hornof"
"12","T Knuuttila","T Honkela"
"13","N Chater","N Stewart"
"14","Z Cai","X Hu"
"15","D Franceschetti","X Hu"
"16","D Franceschetti","Z Cai"
"17","P Penumatsa","X Hu"
"18","P Penumatsa","Z Cai"
"19","P Penumatsa","D Franceschetti"
"20","A Graesser","X Hu"
"21","A Graesser","Z Cai"
"22","A Graesser","D Franceschetti"
"23","A Graesser","P Penumatsa"
"24","M Louwerse","X Hu"
"25","M Louwerse","Z Cai"
"26","M Louwerse","D Franceschetti"
"27","M Louwerse","P Penumatsa"
"28","M Louwerse","A Graesser"
"29","D McNamara","X Hu"
"30","D McNamara","Z Cai"
"31","D McNamara","D Franceschetti"
"32","D McNamara","P Penumatsa"
"33","D McNamara","A Graesser"
"34","D McNamara","M Louwerse"
"35","H Group","X Hu"
"36","H Group","Z Cai"
"37","H Group","D Franceschetti"
"38","H Group","P Penumatsa"
"39","H Group","A Graesser"
"40","H Group","M Louwerse"
"41","H Group","D McNamara"
"42","S Scott","S Scott"
"43","B Ross","S Chin-Parker"
"44","D Fisher","L Frey"
"45","K VanLehn","S Siler"
"46","A Shimojima","C Oshima"
"47","A Detiffe","S Gelaes"
"48","J Thibaut","S Gelaes"
"49","J Thibaut","A Detiffe"
"50","L Smith","H Yoshida"
"51","L Konieczny","B Hemforth"
"52","A Markman","K Kim"
"53","N Green","S Elzer"
"54","S Carberry","S Elzer"
"55","S Carberry","N Green"
"56","P Li","J Snedeker"
"57","S Yuan","J Snedeker"
"58","S Yuan","P Li"
"59","B Tversky","B Martin"
"60","J Tenenbaum","C Kemp"
"61","T Siedlecki","D Salvucci"
"62","A Petrov","A Petrov"
"63","M Dijkstra","N Taatgen"
"64","S Narayan","B Bergen"
"65","J Feldman","B Bergen"
"66","J Feldman","S Narayan"
"67","P Cheng","P Cheng"
"68","T Kushnir","D Sobel"
"69","S Sloman","S Sloman"
"70","F Keller","F Keller"
"71","R Hartsuiker","M Corley"
"72","P Juslin","L Karlsson"
"73","H Olsson","L Karlsson"
"74","H Olsson","P Juslin"
"75","M Wieth","B Burns"
"76","K Wiemer-Hastings","X Xu"
"77","S Dennis","M Harrington"
"78","N Gillespie","A diSessa"
"79","J Esterly","A diSessa"
"80","J Esterly","N Gillespie"
"81","R Miikkulaainen","M Mayberry"
"82","P Juslin","A Olsson"
"83","H Olsson","A Olsson"
"85","R French","M Mermillod"
"86","P Quin","M Mermillod"
"87","P Quin","R French"
"88","D Mareschal","M Mermillod"
"89","D Mareschal","R French"
"90","D Mareschal","P Quin"
"91","T Murray","T Murray"
"92","S Dennis","S Dennis"
"94","M Suret","J Locke"
"95","I McLaren","J Locke"
"96","I McLaren","M Suret"
"97","K Forbus","P Paritosh"
"98","C Hertzog","A Robinson"
"99","A Chaudhuri","R Farivar"
"100","K Koedinger","N Chang"
"101","M Lovett","N Chang"
"102","M Lovett","K Koedinger"
"103","E Kandogan","P Maglio"
"104","E Haber","P Maglio"
"105","E Haber","E Kandogan"
"106","D Gentner","F Anggoro"
"107","S Bringsjord","Y Yang"
"108","K Bock","D Davidson"
"109","D Irwin","D Davidson"
