"","from","to"
"1","G Gaskell","J Rodd"
"2","W Marslen-Wilson","J Rodd"
"3","W Marslen-Wilson","G Gaskell"
"4","A Roelofs","A Roelofs"
"5","M Dennis","W Ahn"
"6","K VanLehn","P Albacete"
"7","E Altmann","E Altmann"
"8","C Beaman","C Beaman"
"9","L Schmidt","L Boroditsky"
"10","M Gaskell","S Boudelaa"
"11","R Branstrom","R Branstrom"
"12","B Bridgeman","B Bridgeman"
"13","A Brook","A Brook"
"14","M Byme","M Byme"
"15","W Killgore","D Casasanto"
"16","G Glosser","D Casasanto"
"17","G Glosser","W Killgore"
"18","J Maldjian","D Casasanto"
"19","J Maldjian","W Killgore"
"20","J Maldjian","G Glosser"
"21","J Detre","D Casasanto"
"22","J Detre","W Killgore"
"23","J Detre","G Glosser"
"24","J Detre","J Maldjian"
"25","C Conway","M Christiansen"
"26","S Curtin","M Christiansen"
"27","S Curtin","C Conway"
"28","L Smith","E Colunga"
"29","F Costello","F Costello"
"30","G Cottrell","M Dailey"
"31","R Adolphs","M Dailey"
"32","R Adolphs","G Cottrell"
"33","M Dowman","M Dowman"
"34","J Earwood","M Durbin"
"35","R Golden","M Durbin"
"36","R Golden","J Earwood"
"37","J Evans","A Feeney"
"38","S Venn","A Feeney"
"39","S Venn","J Evans"
"40","R Ferguson","R Ferguson"
"41","R Jacobs","I Fine"
"42","E Chown","E Forbell"
"43","V Teller","J Fodor"
"44","S Bredart","R French"
"45","J Huart","R French"
"46","J Huart","S Bredart"
"47","C Labiouse","R French"
"48","C Labiouse","S Bredart"
"49","C Labiouse","J Huart"
"50","W Gray","W Fu"
"51","E Colunga","M Gasser"
"52","K Scheiter","P Gerjets"
"53","W Tack","P Gerjets"
"54","W Tack","K Scheiter"
"55","R Goldstone","R Goldstone"
"56","P Schyns","F Gosselin"
"57","A Karnavat","A Graesser"
"58","V Pomeroy","A Graesser"
"59","V Pomeroy","A Karnavat"
"60","K Wiemer-Hastings","A Graesser"
"61","K Wiemer-Hastings","A Karnavat"
"62","K Wiemer-Hastings","V Pomeroy"
