"","x"
"1","J Rodd"
"2","G Gaskell"
"3","W Marslen-Wilson"
"4","A Roelofs"
"5","W Ahn"
"6","M Dennis"
"7","P Albacete"
"8","K VanLehn"
"9","E Altmann"
"10","C Beaman"
"11","L Boroditsky"
"12","L Schmidt"
"13","S Boudelaa"
"14","M Gaskell"
"15","R Branstrom"
"16","B Bridgeman"
"17","A Brook"
"18","M Byme"
"19","D Casasanto"
"20","W Killgore"
"21","G Glosser"
"22","J Maldjian"
"23","J Detre"
"24","M Christiansen"
"25","C Conway"
"26","S Curtin"
"27","E Colunga"
"28","L Smith"
"29","F Costello"
"30","M Dailey"
"31","G Cottrell"
"32","R Adolphs"
"33","M Dowman"
"34","M Durbin"
"35","J Earwood"
"36","R Golden"
"37","A Feeney"
"38","J Evans"
"39","S Venn"
"40","R Ferguson"
"41","I Fine"
"42","R Jacobs"
"43","E Forbell"
"44","E Chown"
"45","J Fodor"
"46","V Teller"
"47","R French"
"48","S Bredart"
"49","J Huart"
"50","C Labiouse"
"51","W Fu"
"52","W Gray"
"53","M Gasser"
"54","P Gerjets"
"55","K Scheiter"
"56","W Tack"
"57","R Goldstone"
"58","F Gosselin"
"59","P Schyns"
"60","A Graesser"
"61","A Karnavat"
"62","V Pomeroy"
"63","K Wiemer-Hastings"
"64","G Gredebäck"
"65","A Winman"
"66","P Juslin"
"67","T Griffith"
"68","N Nersessian"
"69","A Goel"
"70","T Griffiths"
"71","J Tenenbaum"
"72","S Gross"
"73","Y Hagmayer"
"74","M Waldmann"
"75","P Hendriks"
"76","A Heneveld"
"77","A Bundy"
"78","M Ramscar"
"79","J Richardson"
"80","J Hummel"
"81","J Choplin"
"82","A Jansen"
"83","K Marriot"
"84","S Jones"
"85","H Olsson"
"86","P Jordan"
"87","E Kako"
"88","J Trueswell"
"89","J Kim"
"90","M Glass"
"91","R Freedman"
"92","M Evens"
"93","A Kinyon"
"94","B Kokinov"
"95","A Petrov"
"96","R Kovordányi"
"97","G Legendre"
"98","P Hagstrom"
"99","M Todorova"
"100","A Vainikka"
"101","S Levy"
"102","O Melnik"
"103","J Pollack"
"104","P Li"
"105","C Long"
"106","A Almor"
"107","B Love"
"108","M Lyons"
"109","A Plante"
"110","M Kamachi"
"111","S Akamatsu"
"112","R Campbell"
"113","M Coleman"
"114","S MacAndrew"
"115","T Harley"
"116","S Marcovitch"
"117","P Zelazo"
"118","I McLaren"
"119","M Suret"
"120","F Meunier"
"121","J Milostan"
"122","V Ferreira"
"123","D Noelle"
"124","S Ohlsson"
"125","T Moher"
"126","A Johnson"
"127","J Anderson"
"128","M Pomplun"
"129","E Reingold"
"130","J Shen"
"131","D Williams"
"132","D Yarlett"
"133","A Reid"
"134","A Renkl"
"135","R Atkinson"
"136","U Maier"
"137","P Resnik"
"138","M Diab"
"139","J Saffran"
"140","L Samuelson"
"141","H Schauer"
"142","U Hahn"
"143","C Scheepers"
"144","M Corely"
"145","E Heise"
"146","M Schober"
"147","F Conrad"
"148","J Bloom"
"149","L Shastri"
"150","C Wendelken"
"151","T Shultz"
"152","A Bale"
"153","M Lepper"
"154","V Sloutsky"
"155","Y Lo"
"156","A Yarlas"
"157","J Snedeker"
"158","L Gleitman"
"159","M Felberbaum"
"160","N Placa"
"161","M Spivey"
"162","M Tyler"
"163","D Richardson"
"164","E Young"
"165","K Stenning"
"166","M Sommerfeld"
"167","D Subramanian"
"168","W Tabor"
"169","B Galantucci"
"170","S Hutchins"
"171","F Xu"
"172","K Straub"
"173","W Badecker"
"174","R Frank"
"175","I Umata"
"176","A Shimojima"
"177","Y Katagiri"
"178","I Rooij"
"179","R Bongers"
"180","W Haselager"
"181","R Vollmeyer"
"182","B Burns"
"183","F Rheinberg"
"184","H Wang"
"185","J Zhang"
"186","T Johnson"
"187","R West"
"188","G Nagy"
"189","M Wieth"
"190","T Yamauchi"
"191","A Markman"
"192","W Zuidema"
"193","P Hogeweg"
"194","R Catrambone"
"195","T Baldwin"
"196","H Tanaka"
"197","S Bay"
"198","M Pazzani"
"199","H Bensusan"
"200","C Giraud-Carrier"
"201","D Billman"
"202","A Swilley"
"203","M Krych"
"204","S Blok"
"205","D Gentner"
"206","R Vollemeyer"
"207","J Chuah"
"208","P Drake"
"209","K Mix"
"210","M Clearfield"
"211","M Ellefson"
"212","S Fox"
"213","J Greeno"
"214","M Wiebe"
"215","R Hall"
"216","J Hicks"
